job_title,employment_type,experience_level,salary,salary_currency,company_location,salary_in_usd,employee_residence,company_size,work_year,remote_type,role_category,salary_band,international_job
Data Scientist,FT,SE,129300,United States Dollar,United States,129300,United States,M,2023,Unknown,Data Scientist,Medium,False
Data Scientist,FT,SE,225000,United States Dollar,United States,225000,United States,M,2023,Unknown,Data Scientist,Very High,False
Data Scientist,FT,SE,156400,United States Dollar,United States,156400,United States,M,2023,Unknown,Data Scientist,High,False
Machine Learning Engineer,FT,SE,309000,United States Dollar,United States,309000,United States,M,2023,Unknown,ML / AI Engineer,Very High,False
Machine Learning Engineer,FT,SE,142000,United States Dollar,United States,142000,United States,M,2023,Unknown,ML / AI Engineer,High,False
Data Analyst,FT,SE,204500,United States Dollar,United States,204500,United States,M,2023,Unknown,Data Analyst / BI,Very High,False
Data Analyst,FT,SE,138900,United States Dollar,United States,138900,United States,M,2023,Unknown,Data Analyst / BI,High,False
Machine Learning Engineer,FT,SE,323300,United States Dollar,United States,323300,United States,M,2023,Unknown,ML / AI Engineer,Very High,False
Machine Learning Engineer,FT,SE,184700,United States Dollar,United States,184700,United States,M,2023,Unknown,ML / AI Engineer,High,False
Machine Learning Engineer,FT,SE,247500,United States Dollar,United States,247500,United States,M,2023,Unknown,ML / AI Engineer,Very High,False
Machine Learning Engineer,FT,SE,172200,United States Dollar,United States,172200,United States,M,2023,Unknown,ML / AI Engineer,High,False
Decision Scientist,FT,SE,204500,United States Dollar,United States,204500,United States,M,2023,Unknown,Data Scientist,Very High,False
Decision Scientist,FT,SE,142200,United States Dollar,United States,142200,United States,M,2023,Unknown,Data Scientist,High,False
Machine Learning Software Engineer,FT,MI,2000000,Indian Rupee,India,24322,India,L,2023,Unknown,ML / AI Engineer,Low,False
BI Developer,FT,SE,135000,United States Dollar,United States,135000,United States,M,2023,Unknown,Data Analyst / BI,Medium,False
BI Developer,FT,SE,110000,United States Dollar,United States,110000,United States,M,2023,Unknown,Data Analyst / BI,Medium,False
Machine Learning Scientist,FT,SE,180514,United States Dollar,United Kingdom,180514,United Kingdom,M,2023,Unknown,ML / AI Engineer,High,False
Machine Learning Scientist,FT,SE,108308,United States Dollar,United Kingdom,108308,United Kingdom,M,2023,Unknown,ML / AI Engineer,Medium,False
BI Analyst,FT,SE,118800,United States Dollar,United States,118800,United States,M,2023,Unknown,Data Analyst / BI,Medium,False
BI Analyst,FT,SE,75000,United States Dollar,United States,75000,United States,M,2023,Unknown,Data Analyst / BI,Low,False
Data Manager,FT,SE,145000,United States Dollar,United States,145000,United States,M,2023,Unknown,Management,High,False
Data Manager,FT,SE,130000,United States Dollar,United States,130000,United States,M,2023,Unknown,Management,Medium,False
Data Engineer,FT,SE,180514,United States Dollar,United Kingdom,180514,United Kingdom,M,2023,Unknown,Data Engineer,High,False
Data Engineer,FT,SE,108308,United States Dollar,United Kingdom,108308,United Kingdom,M,2023,Unknown,Data Engineer,Medium,False
Machine Learning Engineer,FT,SE,193600,United States Dollar,United States,193600,United States,M,2023,Unknown,ML / AI Engineer,Very High,False
Machine Learning Engineer,FT,SE,119700,United States Dollar,United States,119700,United States,M,2023,Unknown,ML / AI Engineer,Medium,False
BI Analyst,FT,SE,130800,United States Dollar,United States,130800,United States,M,2023,Unknown,Data Analyst / BI,Medium,False
BI Analyst,FT,SE,87200,United States Dollar,United States,87200,United States,M,2023,Unknown,Data Analyst / BI,Low,False
Data Engineer,FT,SE,215000,United States Dollar,United States,215000,United States,M,2023,Unknown,Data Engineer,Very High,False
Data Engineer,FT,SE,150000,United States Dollar,United States,150000,United States,M,2023,Unknown,Data Engineer,High,False
Business Intelligence Engineer,FT,Executive,247500,United States Dollar,United States,247500,United States,M,2023,Unknown,Data Analyst / BI,Very High,False
Business Intelligence Engineer,FT,Executive,172200,United States Dollar,United States,172200,United States,M,2023,Unknown,Data Analyst / BI,High,False
Data Scientist,FT,MI,50000,British Pound Sterling,United Kingdom,61520,United Kingdom,M,2023,Unknown,Data Scientist,Low,False
Data Scientist,FT,MI,40000,British Pound Sterling,United Kingdom,49216,United Kingdom,M,2023,Unknown,Data Scientist,Low,False
Machine Learning Engineer,FT,SE,204500,United States Dollar,United States,204500,United States,M,2023,Unknown,ML / AI Engineer,Very High,False
Machine Learning Engineer,FT,SE,142200,United States Dollar,United States,142200,United States,M,2023,Unknown,ML / AI Engineer,High,False
Data Analyst,FT,SE,169000,United States Dollar,United States,169000,United States,M,2023,Unknown,Data Analyst / BI,High,False
Data Analyst,FT,SE,110600,United States Dollar,United States,110600,United States,M,2023,Unknown,Data Analyst / BI,Medium,False
ML Engineer,FT,SE,238000,United States Dollar,United States,238000,United States,M,2023,Unknown,ML / AI Engineer,Very High,False
ML Engineer,FT,SE,173000,United States Dollar,United States,173000,United States,M,2023,Unknown,ML / AI Engineer,High,False
Business Intelligence Engineer,FT,SE,225000,United States Dollar,United States,225000,United States,M,2023,Unknown,Data Analyst / BI,Very High,False
Business Intelligence Engineer,FT,SE,156400,United States Dollar,United States,156400,United States,M,2023,Unknown,Data Analyst / BI,High,False
Data Engineer,FT,Executive,205785,United States Dollar,United Kingdom,205785,United Kingdom,M,2023,Unknown,Data Engineer,Very High,False
Data Engineer,FT,Executive,123471,United States Dollar,United Kingdom,123471,United Kingdom,M,2023,Unknown,Data Engineer,Medium,False
Data Science Manager,FT,SE,299500,United States Dollar,United States,299500,United States,M,2023,Unknown,Data Scientist,Very High,False
Data Science Manager,FT,SE,245100,United States Dollar,United States,245100,United States,M,2023,Unknown,Data Scientist,Very High,False
Data Scientist,FT,SE,153600,United States Dollar,United States,153600,United States,M,2023,Unknown,Data Scientist,High,False
Data Scientist,FT,SE,106800,United States Dollar,United States,106800,United States,M,2023,Unknown,Data Scientist,Medium,False
AI Programmer,FT,EN,40000,United States Dollar,KR,40000,KR,S,2023,Unknown,ML / AI Engineer,Low,False
Data Scientist,FT,SE,66000,Euro,Spain,71259,Spain,M,2023,Unknown,Data Scientist,Low,False
Data Scientist,FT,MI,125000,United States Dollar,United States,125000,United States,M,2023,Unknown,Data Scientist,Medium,False
Data Scientist,FT,MI,90000,United States Dollar,United States,90000,United States,M,2023,Unknown,Data Scientist,Low,False
ML Engineer,FT,SE,290000,United States Dollar,United States,290000,United States,M,2023,Unknown,ML / AI Engineer,Very High,False
ML Engineer,FT,SE,226000,United States Dollar,United States,226000,United States,M,2023,Unknown,ML / AI Engineer,Very High,False
Applied Scientist,FT,SE,222200,United States Dollar,United States,222200,United States,L,2023,Unknown,Data Scientist,Very High,False
Applied Scientist,FT,SE,136000,United States Dollar,United States,136000,United States,L,2023,Unknown,Data Scientist,Medium,False
Data Scientist,FT,SE,161000,United States Dollar,United States,161000,United States,M,2023,Unknown,Data Scientist,High,False
Data Scientist,FT,SE,151000,United States Dollar,United States,151000,United States,M,2023,Unknown,Data Scientist,High,False
Data Analyst,FT,SE,49200,Euro,EE,53120,EE,M,2023,Unknown,Data Analyst / BI,Low,False
Data Analyst,FT,SE,36000,Euro,EE,38868,EE,M,2023,Unknown,Data Analyst / BI,Low,False
Data Engineer,FT,SE,136994,United States Dollar,United States,136994,United States,M,2023,Unknown,Data Engineer,Medium,False
Data Engineer,FT,SE,101570,United States Dollar,United States,101570,United States,M,2023,Unknown,Data Engineer,Medium,False
Data Scientist,FT,SE,214500,United States Dollar,United States,214500,United States,M,2023,Unknown,Data Scientist,Very High,False
Data Scientist,FT,SE,150000,United States Dollar,United States,150000,United States,M,2023,Unknown,Data Scientist,High,False
Analytics Engineer,FT,SE,150000,United States Dollar,United States,150000,United States,M,2023,Unknown,Data Analyst / BI,High,False
Analytics Engineer,FT,SE,120000,United States Dollar,United States,120000,United States,M,2023,Unknown,Data Analyst / BI,Medium,False
Data Engineer,FT,SE,278300,United States Dollar,United States,278300,United States,M,2023,Unknown,Data Engineer,Very High,False
Data Engineer,FT,SE,205700,United States Dollar,United States,205700,United States,M,2023,Unknown,Data Engineer,Very High,False
Applied Scientist,FT,SE,185900,United States Dollar,United States,185900,United States,M,2023,Unknown,Data Scientist,High,False
Applied Scientist,FT,SE,167310,United States Dollar,United States,167310,United States,M,2023,Unknown,Data Scientist,High,False
Data Engineer,FT,MI,114000,United States Dollar,United States,114000,United States,M,2023,Unknown,Data Engineer,Medium,False
Data Engineer,FT,MI,100000,United States Dollar,United States,100000,United States,M,2023,Unknown,Data Engineer,Medium,False
Applied Scientist,FT,SE,260000,United States Dollar,United States,260000,United States,L,2023,Unknown,Data Scientist,Very High,False
Data Engineer,FT,SE,162000,United States Dollar,United States,162000,United States,M,2023,Unknown,Data Engineer,High,False
Data Engineer,FT,SE,111000,United States Dollar,United States,111000,United States,M,2023,Unknown,Data Engineer,Medium,False
Data Engineer,FT,SE,225500,United States Dollar,United States,225500,United States,M,2023,Unknown,Data Engineer,Very High,False
Data Engineer,FT,SE,139400,United States Dollar,United States,139400,United States,M,2023,Unknown,Data Engineer,High,False
Data Analytics Manager,FT,MI,177000,United States Dollar,United States,177000,United States,M,2023,Unknown,Data Analyst / BI,High,False
Data Analytics Manager,FT,MI,110000,United States Dollar,United States,110000,United States,M,2023,Unknown,Data Analyst / BI,Medium,False
Data Analyst,FT,SE,120350,United States Dollar,United States,120350,United States,M,2023,Unknown,Data Analyst / BI,Medium,False
Data Analyst,FT,SE,74400,United States Dollar,United States,74400,United States,M,2023,Unknown,Data Analyst / BI,Low,False
Data Engineer,FT,SE,194000,United States Dollar,United States,194000,United States,M,2023,Unknown,Data Engineer,Very High,False
Data Engineer,FT,SE,161000,United States Dollar,United States,161000,United States,M,2023,Unknown,Data Engineer,High,False
Research Engineer,FT,EN,30000,Euro,FR,32390,FR,M,2023,Unknown,Research,Low,False
Machine Learning Engineer,FT,SE,184950,United States Dollar,United States,184950,United States,M,2023,Unknown,ML / AI Engineer,High,False
Machine Learning Engineer,FT,SE,119250,United States Dollar,United States,119250,United States,M,2023,Unknown,ML / AI Engineer,Medium,False
Data Engineer,FT,SE,178500,United States Dollar,United States,178500,United States,M,2023,Unknown,Data Engineer,High,False
Data Engineer,FT,SE,136000,United States Dollar,United States,136000,United States,M,2023,Unknown,Data Engineer,Medium,False
Machine Learning Engineer,FT,SE,189000,United States Dollar,United States,189000,United States,M,2023,Unknown,ML / AI Engineer,Very High,False
Machine Learning Engineer,FT,SE,159090,United States Dollar,United States,159090,United States,M,2023,Unknown,ML / AI Engineer,High,False
Data Engineer,FT,MI,91000,United States Dollar,United States,91000,United States,M,2023,Unknown,Data Engineer,Medium,False
Data Engineer,FT,MI,82000,United States Dollar,United States,82000,United States,M,2023,Unknown,Data Engineer,Low,False
Data Engineer,FT,SE,149076,United States Dollar,United States,149076,United States,M,2023,Unknown,Data Engineer,High,False
Data Engineer,FT,SE,82365,United States Dollar,United States,82365,United States,M,2023,Unknown,Data Engineer,Low,False
Applied Scientist,FT,SE,192000,United States Dollar,United States,192000,United States,M,2023,Unknown,Data Scientist,Very High,False
Applied Scientist,FT,SE,164000,United States Dollar,United States,164000,United States,M,2023,Unknown,Data Scientist,High,False
Data Scientist,FT,SE,175000,United States Dollar,United States,175000,United States,M,2023,Unknown,Data Scientist,High,False
Data Engineer,FT,SE,194595,United States Dollar,United States,194595,United States,M,2023,Unknown,Data Engineer,Very High,False
Data Engineer,FT,SE,158000,United States Dollar,United States,158000,United States,M,2023,Unknown,Data Engineer,High,False
Data Engineer,FT,SE,240500,United States Dollar,United States,240500,United States,L,2023,Unknown,Data Engineer,Very High,False
Data Engineer,FT,SE,123700,United States Dollar,United States,123700,United States,L,2023,Unknown,Data Engineer,Medium,False
Data Scientist,FT,SE,212800,United States Dollar,United States,212800,United States,L,2023,Unknown,Data Scientist,Very High,False
Data Scientist,FT,SE,111600,United States Dollar,United States,111600,United States,L,2023,Unknown,Data Scientist,Medium,False
Research Engineer,FT,MI,257400,United States Dollar,United States,257400,United States,M,2023,Unknown,Research,Very High,False
Research Engineer,FT,MI,193500,United States Dollar,United States,193500,United States,M,2023,Unknown,Research,Very High,False
ML Engineer,FT,SE,305000,United States Dollar,United States,305000,United States,M,2023,Unknown,ML / AI Engineer,Very High,False
ML Engineer,FT,SE,245000,United States Dollar,United States,245000,United States,M,2023,Unknown,ML / AI Engineer,Very High,False
Data Scientist,FT,SE,205485,United States Dollar,United States,205485,United States,M,2023,Unknown,Data Scientist,Very High,False
Data Scientist,FT,SE,156560,United States Dollar,United States,156560,United States,M,2023,Unknown,Data Scientist,High,False
Data Analyst,FT,SE,168000,United States Dollar,United States,168000,United States,L,2023,Unknown,Data Analyst / BI,High,False
Data Analyst,FT,SE,78400,United States Dollar,United States,78400,United States,L,2023,Unknown,Data Analyst / BI,Low,False
Machine Learning Engineer,FT,SE,260000,United States Dollar,United States,260000,United States,M,2023,Unknown,ML / AI Engineer,Very High,False
Machine Learning Engineer,FT,SE,175000,United States Dollar,United States,175000,United States,M,2023,Unknown,ML / AI Engineer,High,False
Data Engineer,FT,Executive,130002,United States Dollar,United States,130002,United States,M,2023,Unknown,Data Engineer,Medium,False
Data Engineer,FT,Executive,71908,United States Dollar,United States,71908,United States,M,2023,Unknown,Data Engineer,Low,False
Data Analyst,FT,SE,212000,United States Dollar,United States,212000,United States,M,2023,Unknown,Data Analyst / BI,Very High,False
Data Analyst,FT,SE,132000,United States Dollar,United States,132000,United States,M,2023,Unknown,Data Analyst / BI,Medium,False
Data Analyst,FT,MI,177000,United States Dollar,United States,177000,United States,M,2023,Unknown,Data Analyst / BI,High,False
Data Analyst,FT,MI,110000,United States Dollar,United States,110000,United States,M,2023,Unknown,Data Analyst / BI,Medium,False
Data Scientist,FT,SE,164000,United States Dollar,United States,164000,United States,M,2023,Unknown,Data Scientist,High,False
Research Scientist,FT,SE,248100,United States Dollar,United States,248100,United States,M,2023,Unknown,Research,Very High,False
Research Scientist,FT,SE,145900,United States Dollar,United States,145900,United States,M,2023,Unknown,Research,High,False
Data Analyst,FT,SE,148000,United States Dollar,United States,148000,United States,M,2023,Unknown,Data Analyst / BI,High,False
Data Analyst,FT,SE,92000,United States Dollar,United States,92000,United States,M,2023,Unknown,Data Analyst / BI,Medium,False
Applied Scientist,FT,SE,248100,United States Dollar,United States,248100,United States,M,2023,Unknown,Data Scientist,Very High,False
Applied Scientist,FT,SE,145900,United States Dollar,United States,145900,United States,M,2023,Unknown,Data Scientist,High,False
Data Lead,FT,SE,155000,United States Dollar,United States,155000,United States,M,2023,Unknown,Management,High,False
Data Lead,FT,SE,38000,United States Dollar,United States,38000,United States,M,2023,Unknown,Management,Low,False
Machine Learning Engineer,FT,SE,218000,United States Dollar,United States,218000,United States,M,2023,Unknown,ML / AI Engineer,Very High,False
Machine Learning Engineer,FT,SE,115000,United States Dollar,United States,115000,United States,M,2023,Unknown,ML / AI Engineer,Medium,False
Data Strategist,FT,SE,104000,United States Dollar,United States,104000,United States,M,2023,Unknown,Management,Medium,False
Data Strategist,FT,SE,86000,United States Dollar,United States,86000,United States,M,2023,Unknown,Management,Low,False
Analytics Engineer,FT,SE,235400,United States Dollar,United States,235400,United States,M,2023,Unknown,Data Analyst / BI,Very High,False
Analytics Engineer,FT,SE,108320,United States Dollar,United States,108320,United States,M,2023,Unknown,Data Analyst / BI,Medium,False
Data Quality Analyst,FT,SE,95000,United States Dollar,United States,95000,United States,M,2023,Unknown,Data Analyst / BI,Medium,False
Data Quality Analyst,FT,SE,82000,United States Dollar,United States,82000,United States,M,2023,Unknown,Data Analyst / BI,Low,False
Data Engineer,FT,SE,152375,United States Dollar,United States,152375,United States,M,2023,Unknown,Data Engineer,High,False
Data Engineer,FT,SE,94000,United States Dollar,United States,94000,United States,M,2023,Unknown,Data Engineer,Medium,False
Data Analyst,FT,SE,115934,United States Dollar,United States,115934,United States,M,2023,Unknown,Data Analyst / BI,Medium,False
Data Analyst,FT,SE,81666,United States Dollar,United States,81666,United States,M,2023,Unknown,Data Analyst / BI,Low,False
Data Analyst,FT,MI,79000,United States Dollar,United States,79000,United States,M,2023,Unknown,Data Analyst / BI,Low,False
Research Scientist,FT,SE,273400,United States Dollar,United States,273400,United States,M,2023,Unknown,Research,Very High,False
Research Scientist,FT,SE,182200,United States Dollar,United States,182200,United States,M,2023,Unknown,Research,High,False
Data Analyst,FT,MI,160000,United States Dollar,United States,160000,United States,M,2023,Unknown,Data Analyst / BI,High,False
Data Analyst,FT,MI,112000,United States Dollar,United States,112000,United States,M,2023,Unknown,Data Analyst / BI,Medium,False
Data Scientist,FT,SE,285000,United States Dollar,United States,285000,United States,M,2023,Unknown,Data Scientist,Very High,False
Data Scientist,FT,SE,154000,United States Dollar,United States,154000,United States,M,2023,Unknown,Data Scientist,High,False
Applied Scientist,FT,SE,220000,United States Dollar,United States,220000,United States,M,2023,Unknown,Data Scientist,Very High,False
Applied Scientist,FT,SE,170000,United States Dollar,United States,170000,United States,M,2023,Unknown,Data Scientist,High,False
Data Engineer,FT,Executive,174500,United States Dollar,United States,174500,United States,M,2023,Unknown,Data Engineer,High,False
Data Engineer,FT,Executive,113000,United States Dollar,United States,113000,United States,M,2023,Unknown,Data Engineer,Medium,False
Data Engineer,FT,SE,225000,United States Dollar,United States,225000,United States,M,2023,Unknown,Data Engineer,Very High,False
Data Engineer,FT,SE,125000,United States Dollar,United States,125000,United States,M,2023,Unknown,Data Engineer,Medium,False
Data Engineer,FT,MI,200000,United States Dollar,United States,200000,United States,M,2023,Unknown,Data Engineer,Very High,False
Data Engineer,FT,MI,180000,United States Dollar,United States,180000,United States,M,2023,Unknown,Data Engineer,High,False
Applied Scientist,FT,MI,250000,United States Dollar,United States,250000,United States,M,2023,Unknown,Data Scientist,Very High,False
Applied Scientist,FT,MI,125000,United States Dollar,United States,125000,United States,M,2023,Unknown,Data Scientist,Medium,False
Data Analyst,FT,MI,90000,United States Dollar,United States,90000,United States,M,2023,Unknown,Data Analyst / BI,Low,False
Research Scientist,FT,MI,275000,United States Dollar,United States,275000,United States,M,2023,Unknown,Research,Very High,False
Research Scientist,FT,MI,200000,United States Dollar,United States,200000,United States,M,2023,Unknown,Research,Very High,False
Machine Learning Engineer,FT,SE,258800,United States Dollar,United Kingdom,258800,United Kingdom,M,2023,Unknown,ML / AI Engineer,Very High,False
Machine Learning Engineer,FT,SE,199200,United States Dollar,United Kingdom,199200,United Kingdom,M,2023,Unknown,ML / AI Engineer,Very High,False
Data Scientist,FT,SE,177000,United States Dollar,United Kingdom,177000,United Kingdom,M,2023,Unknown,Data Scientist,High,False
Data Scientist,FT,SE,136000,United States Dollar,United Kingdom,136000,United Kingdom,M,2023,Unknown,Data Scientist,Medium,False
Data Analyst,FT,MI,80000,United States Dollar,United States,80000,United States,M,2023,Unknown,Data Analyst / BI,Low,False
Data Analyst,FT,SE,115000,United States Dollar,United States,115000,United States,M,2023,Unknown,Data Analyst / BI,Medium,False
Data Analyst,FT,SE,75000,United States Dollar,United States,75000,United States,M,2023,Unknown,Data Analyst / BI,Low,False
Data Analyst,FT,SE,138860,United States Dollar,United States,138860,United States,M,2023,Unknown,Data Analyst / BI,High,False
Data Analyst,FT,SE,122720,United States Dollar,United States,122720,United States,M,2023,Unknown,Data Analyst / BI,Medium,False
Data Engineer,FT,SE,231500,United States Dollar,United States,231500,United States,M,2023,Unknown,Data Engineer,Very High,False
Data Engineer,FT,SE,118000,United States Dollar,United States,118000,United States,M,2023,Unknown,Data Engineer,Medium,False
Data Scientist,FT,Executive,299500,United States Dollar,United States,299500,United States,M,2023,Unknown,Data Scientist,Very High,False
Data Scientist,FT,Executive,249600,United States Dollar,United States,249600,United States,M,2023,Unknown,Data Scientist,Very High,False
Business Intelligence Engineer,FT,SE,185000,United States Dollar,United States,185000,United States,L,2023,Unknown,Data Analyst / BI,High,False
Business Intelligence Engineer,FT,SE,79600,United States Dollar,United States,79600,United States,L,2023,Unknown,Data Analyst / BI,Low,False
Data Analyst,FT,MI,866000,Philippine Peso,PH,15680,PH,L,2023,Unknown,Data Analyst / BI,Low,False
Data Engineer,FT,MI,120000,United States Dollar,United States,120000,United States,M,2023,Unknown,Data Engineer,Medium,False
Data Engineer,FT,MI,110000,United States Dollar,United States,110000,United States,M,2023,Unknown,Data Engineer,Medium,False
Data Analyst,FT,MI,100000,United States Dollar,United States,100000,United States,M,2023,Unknown,Data Analyst / BI,Medium,False
Machine Learning Engineer,FT,SE,297000,United States Dollar,United States,297000,United States,M,2023,Unknown,ML / AI Engineer,Very High,False
Machine Learning Engineer,FT,SE,138000,United States Dollar,United States,138000,United States,M,2023,Unknown,ML / AI Engineer,High,False
Data Scientist,FT,MI,135000,United States Dollar,United States,135000,United States,M,2023,Unknown,Data Scientist,Medium,False
Data Scientist,FT,MI,105000,United States Dollar,United States,105000,United States,M,2023,Unknown,Data Scientist,Medium,False
Data Scientist,FT,SE,267100,United States Dollar,United States,267100,United States,M,2023,Unknown,Data Scientist,Very High,False
Data Scientist,FT,SE,167200,United States Dollar,United States,167200,United States,M,2023,Unknown,Data Scientist,High,False
Data Scientist,FT,SE,202000,United States Dollar,United States,202000,United States,M,2023,Unknown,Data Scientist,Very High,False
Data Engineer,FT,SE,174350,United States Dollar,United States,174350,United States,M,2023,Unknown,Data Engineer,High,False
Data Engineer,FT,SE,126800,United States Dollar,United States,126800,United States,M,2023,Unknown,Data Engineer,Medium,False
Data Architect,FT,SE,188500,United States Dollar,United States,188500,United States,M,2023,Unknown,Data Architecture / Infrastructure,Very High,False
Data Architect,FT,SE,117000,United States Dollar,United States,117000,United States,M,2023,Unknown,Data Architecture / Infrastructure,Medium,False
Data Scientist,FT,SE,150931,United States Dollar,United States,150931,United States,M,2023,Unknown,Data Scientist,High,False
Data Scientist,FT,SE,143250,United States Dollar,United States,143250,United States,M,2023,Unknown,Data Scientist,High,False
AI Architect,FT,SE,330000,United States Dollar,United States,330000,United States,M,2023,Unknown,ML / AI Engineer,Very High,False
AI Architect,FT,SE,204000,United States Dollar,United States,204000,United States,M,2023,Unknown,ML / AI Engineer,Very High,False
Data Engineer,FT,SE,160000,United States Dollar,United States,160000,United States,M,2023,Unknown,Data Engineer,High,False
Data Engineer,FT,SE,205600,United States Dollar,United States,205600,United States,L,2023,Unknown,Data Engineer,Very High,False
Data Engineer,FT,SE,105700,United States Dollar,United States,105700,United States,L,2023,Unknown,Data Engineer,Medium,False
Machine Learning Engineer,FT,SE,324000,United States Dollar,United States,324000,United States,M,2023,Unknown,ML / AI Engineer,Very High,False
Machine Learning Engineer,FT,SE,159000,United States Dollar,United States,159000,United States,M,2023,Unknown,ML / AI Engineer,High,False
Data Engineer,FT,SE,231000,United States Dollar,United States,231000,United States,M,2023,Unknown,Data Engineer,Very High,False
Data Engineer,FT,SE,157250,United States Dollar,United States,157250,United States,M,2023,Unknown,Data Engineer,High,False
Machine Learning Scientist,FT,SE,240000,United States Dollar,United States,240000,United States,M,2023,Unknown,ML / AI Engineer,Very High,False
Machine Learning Scientist,FT,SE,157250,United States Dollar,United States,157250,United States,M,2023,Unknown,ML / AI Engineer,High,False
Data Engineer,FT,SE,232000,United States Dollar,United States,232000,United States,M,2023,Unknown,Data Engineer,Very High,False
Data Engineer,FT,SE,108000,United States Dollar,United States,108000,United States,M,2023,Unknown,Data Engineer,Medium,False
Data Scientist,FT,SE,277300,United States Dollar,United Kingdom,277300,United Kingdom,M,2023,Unknown,Data Scientist,Very High,False
Data Scientist,FT,SE,213300,United States Dollar,United Kingdom,213300,United Kingdom,M,2023,Unknown,Data Scientist,Very High,False
Data Scientist,FT,SE,180000,United States Dollar,United States,180000,United States,M,2023,Unknown,Data Scientist,High,False
Data Engineer,FT,SE,209000,United States Dollar,United States,209000,United States,M,2023,Unknown,Data Engineer,Very High,False
Data Engineer,FT,SE,135000,United States Dollar,United States,135000,United States,M,2023,Unknown,Data Engineer,Medium,False
Data Scientist,FT,SE,184250,United States Dollar,United States,184250,United States,M,2023,Unknown,Data Scientist,High,False
Data Scientist,FT,SE,167500,United States Dollar,United States,167500,United States,M,2023,Unknown,Data Scientist,High,False
Data Engineer,FT,SE,95000,United States Dollar,United States,95000,United States,M,2023,Unknown,Data Engineer,Medium,False
Data Engineer,FT,SE,85000,United States Dollar,United States,85000,United States,M,2023,Unknown,Data Engineer,Low,False
Data Scientist,FT,MI,230000,United States Dollar,United States,230000,United States,M,2023,Unknown,Data Scientist,Very High,False
Computer Vision Engineer,FT,MI,90000,British Pound Sterling,United Kingdom,110736,United Kingdom,M,2023,Unknown,ML / AI Engineer,Medium,False
Computer Vision Engineer,FT,MI,75000,British Pound Sterling,United Kingdom,92280,United Kingdom,M,2023,Unknown,ML / AI Engineer,Medium,False
Data Analyst,FT,SE,154440,United States Dollar,United States,154440,United States,M,2023,Unknown,Data Analyst / BI,High,False
Data Analyst,FT,SE,68550,United States Dollar,United States,68550,United States,M,2023,Unknown,Data Analyst / BI,Low,False
Data Analyst,FT,EN,60000,United States Dollar,United States,60000,United States,M,2023,Unknown,Data Analyst / BI,Low,False
Data Engineer,FT,SE,226600,United States Dollar,United States,226600,United States,M,2023,Unknown,Data Engineer,Very High,False
Data Engineer,FT,SE,140100,United States Dollar,United States,140100,United States,M,2023,Unknown,Data Engineer,High,False
Business Intelligence Analyst,FT,SE,171050,United States Dollar,United States,171050,United States,M,2023,Unknown,Data Analyst / BI,High,False
Business Intelligence Analyst,FT,SE,124400,United States Dollar,United States,124400,United States,M,2023,Unknown,Data Analyst / BI,Medium,False
Machine Learning Engineer,FT,SE,226600,United States Dollar,United States,226600,United States,M,2023,Unknown,ML / AI Engineer,Very High,False
Machine Learning Engineer,FT,SE,140100,United States Dollar,United States,140100,United States,M,2023,Unknown,ML / AI Engineer,High,False
